Name,Aadhaar,Phone,Voter_ID,Age,Gender,City,State,Booth_Number,Ward_Number,Election_ID,Vote_Status
Anika Shah,646588594325,917157036602,VOT1244,58,Male,Pune,Telangana,43,63,ELEC505,Voted
Arjun Singh,634365031081,918749927564,VOT1245,62,Female,Surat,Karnataka,126,29,ELEC202,Voted
Aarav Verma,174849141355,916217966408,VOT1246,72,Female,Hyderabad,Maharashtra,279,85,ELEC876,Not Voted
Riya Nair,952556794537,919181190271,VOT1247,55,Male,Surat,Karnataka,70,38,ELEC973,Voted
Aarav Verma,630692054808,918213796704,VOT1248,61,Female,Chennai,Telangana,79,18,ELEC756,Not Voted
Arjun Verma,490277019861,916122568644,VOT1249,69,Female,Chennai,Gujarat,295,33,ELEC774,Voted
Ananya Patel,243322418976,916911744618,VOT1250,30,Male,Mumbai,Tamil Nadu,137,99,ELEC632,Voted
Aditya Gupta,789842263451,919999055391,VOT1251,67,Male,Bangalore,Gujarat,152,14,ELEC482,Not Voted
Vivaan Iyer,605601520136,916926344785,VOT1252,61,Female,Vadodara,Telangana,163,25,ELEC351,Voted
Vivaan Joshi,773450220556,919285885158,VOT1253,50,Male,Mumbai,Tamil Nadu,94,28,ELEC821,Voted
Diya Shah,137272773188,917770980184,VOT1254,29,Female,Bangalore,Maharashtra,111,70,ELEC675,Voted
Reyansh Singh,263521230792,918959115804,VOT1255,62,Male,Chennai,Karnataka,285,5,ELEC332,Not Voted
Kavya Joshi,905277373948,918916838141,VOT1256,53,Female,Vadodara,Telangana,212,18,ELEC941,Not Voted
Krishna Gupta,695229030066,916318109772,VOT1257,36,Male,Ahmedabad,Maharashtra,272,70,ELEC817,Voted
Aditya Joshi,382791014289,917353842013,VOT1258,55,Female,Surat,Telangana,142,43,ELEC712,Not Voted
Shaurya Iyer,565680883741,917906843630,VOT1259,23,Male,Bangalore,Gujarat,178,75,ELEC615,Voted
Kavya Singh,946306102635,919031807288,VOT1260,39,Female,Hyderabad,Gujarat,133,49,ELEC263,Not Voted
Riya Gupta,469153700821,919355541867,VOT1261,21,Female,Bangalore,Karnataka,69,41,ELEC287,Voted
Aarav Singh,622153921507,916632645502,VOT1262,50,Male,Mumbai,Karnataka,33,19,ELEC467,Voted
Myra Iyer,825049082120,917013910267,VOT1263,20,Female,Vadodara,Tamil Nadu,77,60,ELEC488,Not Voted
Ananya Verma,358222403298,917623067075,VOT1264,57,Male,Bangalore,Telangana,124,30,ELEC566,Not Voted
Vihaan Mehta,876720799257,919422217036,VOT1265,70,Male,Pune,Telangana,83,62,ELEC410,Not Voted
Riya Singh,298752549136,916803594704,VOT1266,45,Female,Chennai,Karnataka,76,7,ELEC525,Voted
Aditya Verma,321543171370,918480333291,VOT1267,78,Female,Hyderabad,Tamil Nadu,217,86,ELEC820,Voted
Riya Reddy,130955006342,916111430253,VOT1268,46,Female,Mumbai,Karnataka,278,54,ELEC168,Not Voted
Ira Shah,889433252163,917485378562,VOT1269,55,Male,Mumbai,Maharashtra,297,63,ELEC250,Voted
Kavya Patel,375057719148,918874079335,VOT1270,29,Male,Bangalore,Karnataka,6,30,ELEC491,Voted
Krishna Gupta,956578582530,917072127560,VOT1271,42,Female,Vadodara,Gujarat,138,51,ELEC791,Not Voted
Ananya Joshi,578402266585,919012406656,VOT1272,72,Female,Mumbai,Tamil Nadu,110,14,ELEC713,Voted
Aarav Iyer,252081065308,918003670537,VOT1273,79,Male,Hyderabad,Karnataka,283,66,ELEC894,Not Voted
Ishaan Iyer,684487078670,916175527407,VOT1274,39,Female,Chennai,Tamil Nadu,233,56,ELEC495,Voted
Vivaan Verma,651509702025,918974181138,VOT1275,42,Female,Chennai,Maharashtra,249,20,ELEC531,Voted
Vihaan Verma,543446056470,919698122965,VOT1276,48,Female,Ahmedabad,Telangana,16,43,ELEC994,Voted
Riya Nair,293379530588,917481331311,VOT1277,45,Female,Pune,Maharashtra,18,49,ELEC560,Voted
Arjun Verma,776372660177,919257535547,VOT1278,64,Male,Hyderabad,Telangana,162,1,ELEC213,Not Voted
Aadhya Reddy,703344926204,919455914022,VOT1279,73,Male,Surat,Gujarat,14,87,ELEC188,Voted
Navya Reddy,425517189736,918134292322,VOT1280,80,Female,Mumbai,Maharashtra,140,72,ELEC872,Not Voted
Sara Gupta,475599063188,919288687121,VOT1281,24,Female,Ahmedabad,Maharashtra,291,26,ELEC562,Voted
Sara Joshi,253670519444,917291585235,VOT1282,61,Male,Bangalore,Tamil Nadu,176,79,ELEC170,Not Voted
Vihaan Joshi,249601260373,916634261346,VOT1283,19,Male,Pune,Maharashtra,161,68,ELEC592,Voted
Sai Singh,125020754527,916198777672,VOT1284,60,Female,Hyderabad,Telangana,127,11,ELEC736,Not Voted
Diya Mehta,244594151842,917016056434,VOT1285,20,Female,Pune,Tamil Nadu,265,67,ELEC418,Voted
Ira Nair,805788749587,919298939190,VOT1286,79,Female,Mumbai,Karnataka,201,11,ELEC849,Not Voted
Navya Singh,307288758645,918380910558,VOT1287,38,Male,Pune,Karnataka,179,90,ELEC682,Voted
Aadhya Verma,927838045635,916690962398,VOT1288,28,Female,Mumbai,Maharashtra,52,30,ELEC869,Not Voted
Ishaan Mehta,686923444336,916703143796,VOT1289,65,Male,Ahmedabad,Telangana,183,47,ELEC264,Voted
Aditya Gupta,499210394670,919435778595,VOT1290,75,Female,Ahmedabad,Maharashtra,193,29,ELEC759,Voted
Sai Nair,856113962689,919966192365,VOT1291,25,Female,Ahmedabad,Tamil Nadu,252,21,ELEC523,Voted
Diya Nair,792788439967,916526145212,VOT1292,25,Male,Hyderabad,Karnataka,244,33,ELEC586,Not Voted
Shaurya Iyer,271128294478,918282150036,VOT1293,31,Female,Ahmedabad,Tamil Nadu,202,79,ELEC513,Voted
Reyansh Iyer,214909263052,917860802699,VOT1294,42,Female,Mumbai,Maharashtra,249,39,ELEC412,Not Voted
Sara Reddy,840458093470,919173722959,VOT1295,74,Male,Vadodara,Telangana,103,56,ELEC826,Not Voted
Riya Patel,326404900485,918560428201,VOT1296,60,Male,Surat,Telangana,164,61,ELEC980,Not Voted
Reyansh Nair,815591364348,919614813212,VOT1297,34,Male,Bangalore,Karnataka,9,82,ELEC463,Voted
Sara Iyer,165278522451,917676852290,VOT1298,80,Female,Surat,Telangana,230,46,ELEC389,Not Voted
Navya Joshi,457080265391,917089971833,VOT1299,20,Female,Chennai,Gujarat,88,83,ELEC274,Voted
Diya Gupta,989509457475,919988362548,VOT1300,76,Male,Bangalore,Maharashtra,193,36,ELEC927,Voted
Reyansh Mehta,899708163268,918157394114,VOT1301,78,Female,Chennai,Tamil Nadu,254,22,ELEC542,Not Voted
Ananya Patel,275399546694,919216352619,VOT1302,20,Male,Surat,Gujarat,209,66,ELEC761,Voted
Myra Verma,235262799038,917060565329,VOT1303,40,Female,Hyderabad,Karnataka,228,84,ELEC184,Voted
Ira Joshi,320273923726,918373682687,VOT1304,46,Female,Pune,Tamil Nadu,269,67,ELEC733,Voted
Arjun Joshi,169572359231,918887865891,VOT1305,69,Female,Ahmedabad,Karnataka,117,97,ELEC817,Not Voted
Ananya Singh,228924785779,918233364750,VOT1306,21,Male,Pune,Gujarat,43,10,ELEC794,Not Voted
Reyansh Mehta,422281779306,917795918929,VOT1307,72,Female,Ahmedabad,Tamil Nadu,290,70,ELEC476,Not Voted
Ira Verma,506716574457,916371093816,VOT1308,20,Male,Vadodara,Gujarat,106,82,ELEC930,Voted
Reyansh Patel,928065788312,919202027682,VOT1309,74,Male,Surat,Tamil Nadu,10,63,ELEC984,Not Voted
Vivaan Joshi,678770516831,918945786991,VOT1310,68,Male,Mumbai,Gujarat,176,97,ELEC431,Voted
Riya Shah,953647674734,918386808784,VOT1311,79,Female,Bangalore,Gujarat,37,15,ELEC356,Not Voted
Ishaan Joshi,409682477995,917207035323,VOT1312,46,Male,Ahmedabad,Tamil Nadu,64,89,ELEC185,Not Voted
Anika Gupta,719025887147,918554075140,VOT1313,64,Male,Vadodara,Tamil Nadu,51,86,ELEC522,Voted
Diya Iyer,313378880223,918515326061,VOT1314,50,Female,Hyderabad,Karnataka,193,89,ELEC290,Not Voted
Aarav Verma,120816496108,917004707144,VOT1315,76,Female,Chennai,Gujarat,220,46,ELEC667,Not Voted
Vivaan Singh,952037666329,919198849388,VOT1316,51,Female,Ahmedabad,Telangana,8,67,ELEC643,Not Voted
Arjun Nair,128105273580,918932434059,VOT1317,30,Female,Bangalore,Maharashtra,280,41,ELEC226,Not Voted
Kavya Reddy,674777604464,919607694310,VOT1318,79,Female,Pune,Gujarat,136,90,ELEC943,Not Voted
Vivaan Reddy,846991256910,917352565579,VOT1319,28,Female,Chennai,Maharashtra,182,97,ELEC336,Voted
Aadhya Nair,735825741495,918844381071,VOT1320,26,Female,Vadodara,Gujarat,1,18,ELEC314,Not Voted
Ananya Reddy,110408833566,916814522439,VOT1321,34,Female,Hyderabad,Karnataka,219,55,ELEC897,Voted
Aarav Gupta,117270760812,917720809748,VOT1322,47,Male,Vadodara,Maharashtra,292,92,ELEC270,Not Voted
Sara Singh,404512774885,919664431951,VOT1323,64,Male,Surat,Maharashtra,242,64,ELEC420,Voted
Aadhya Iyer,903950196755,917510985191,VOT1324,67,Male,Vadodara,Maharashtra,11,55,ELEC485,Voted
Sai Joshi,253440256443,918505974734,VOT1325,27,Female,Hyderabad,Tamil Nadu,109,29,ELEC865,Not Voted
Myra Verma,969273700361,918872960113,VOT1326,29,Male,Bangalore,Gujarat,62,44,ELEC457,Not Voted
Vihaan Reddy,526522195948,918069988347,VOT1327,70,Female,Chennai,Maharashtra,152,96,ELEC770,Not Voted
Anika Nair,108841862479,919407798351,VOT1328,63,Male,Vadodara,Tamil Nadu,21,94,ELEC718,Not Voted
Ira Shah,589671146425,917467321038,VOT1329,78,Female,Vadodara,Telangana,4,68,ELEC238,Not Voted
Aarav Reddy,713991336885,917718097173,VOT1330,26,Female,Chennai,Gujarat,146,66,ELEC240,Voted
Krishna Verma,877964733934,916867744592,VOT1331,41,Female,Ahmedabad,Gujarat,276,100,ELEC510,Voted
Sara Singh,477020901572,919966786525,VOT1332,49,Male,Hyderabad,Telangana,227,21,ELEC179,Voted
Vivaan Singh,173212407454,916708998319,VOT1333,36,Female,Mumbai,Karnataka,67,66,ELEC112,Not Voted
Ananya Verma,915618961389,918499603857,VOT1334,26,Female,Pune,Karnataka,168,17,ELEC527,Voted
Ananya Iyer,150014573931,918841682692,VOT1335,66,Female,Vadodara,Telangana,261,92,ELEC570,Not Voted
Sai Shah,234040511910,918503137680,VOT1336,23,Male,Chennai,Maharashtra,149,6,ELEC579,Not Voted
Anika Shah,590577182038,918839291744,VOT1337,59,Female,Pune,Tamil Nadu,229,73,ELEC401,Not Voted
Myra Gupta,521300320423,919076001620,VOT1338,37,Male,Ahmedabad,Tamil Nadu,26,55,ELEC629,Not Voted
Ananya Mehta,446541211906,917657351449,VOT1339,46,Female,Vadodara,Karnataka,201,10,ELEC837,Voted
Riya Verma,916250623211,919748141633,VOT1340,69,Male,Vadodara,Maharashtra,185,32,ELEC917,Not Voted
Kavya Verma,503712558085,916109075313,VOT1341,46,Male,Pune,Telangana,65,63,ELEC125,Voted
Riya Patel,205017590148,916399825739,VOT1342,69,Male,Mumbai,Maharashtra,232,21,ELEC476,Voted
Vivaan Mehta,289612066061,917499304817,VOT1343,53,Female,Hyderabad,Maharashtra,81,32,ELEC831,Not Voted
Krishna Joshi,148323814301,916186640161,VOT1344,68,Female,Bangalore,Maharashtra,115,12,ELEC560,Not Voted
Ananya Iyer,913696777699,918250528870,VOT1345,37,Female,Chennai,Karnataka,175,31,ELEC402,Not Voted
Myra Shah,751692500138,918175989099,VOT1346,21,Female,Bangalore,Tamil Nadu,46,64,ELEC837,Voted
Ira Verma,576566241730,916232145526,VOT1347,71,Male,Bangalore,Karnataka,10,52,ELEC582,Not Voted
Ishaan Mehta,576167274301,919614674517,VOT1348,49,Female,Pune,Tamil Nadu,231,95,ELEC430,Not Voted
Vihaan Iyer,956274625447,917692912519,VOT1349,29,Male,Surat,Maharashtra,69,44,ELEC634,Not Voted
Navya Nair,781469353160,917277591339,VOT1350,45,Female,Hyderabad,Karnataka,130,48,ELEC747,Voted
Anika Shah,491824770982,919832980009,VOT1351,71,Male,Mumbai,Telangana,291,61,ELEC802,Not Voted
Vihaan Nair,942231028149,916136810563,VOT1352,78,Female,Pune,Maharashtra,22,8,ELEC174,Not Voted
Sara Patel,412819147759,917723838698,VOT1353,80,Male,Surat,Telangana,87,62,ELEC128,Voted
Aditya Patel,952706792807,919718074915,VOT1354,18,Male,Mumbai,Maharashtra,25,99,ELEC933,Not Voted
Ishaan Reddy,115536239947,917198259288,VOT1355,66,Female,Hyderabad,Tamil Nadu,272,5,ELEC655,Voted
Ira Nair,798132834096,919974653026,VOT1356,66,Male,Vadodara,Gujarat,177,48,ELEC323,Voted
Ishaan Joshi,516196608054,916534517324,VOT1357,67,Female,Pune,Maharashtra,38,70,ELEC385,Not Voted
Diya Singh,915554129889,919365082125,VOT1358,39,Male,Hyderabad,Maharashtra,98,98,ELEC809,Voted
Ira Reddy,673319184747,916327172696,VOT1359,50,Male,Mumbai,Maharashtra,279,79,ELEC677,Voted
Sara Joshi,114628223602,918296348187,VOT1360,79,Male,Ahmedabad,Gujarat,137,33,ELEC365,Not Voted
Aditya Reddy,140001033635,917782467623,VOT1361,49,Male,Mumbai,Gujarat,296,35,ELEC867,Voted
Aarav Shah,623174482473,916564430482,VOT1362,74,Male,Hyderabad,Telangana,6,92,ELEC666,Voted
Aadhya Nair,404633474756,919753147341,VOT1363,51,Female,Hyderabad,Gujarat,116,89,ELEC582,Voted
Krishna Joshi,560279368712,919111244279,VOT1364,80,Male,Ahmedabad,Tamil Nadu,13,18,ELEC476,Voted
Ishaan Patel,618096215665,919891370145,VOT1365,50,Female,Chennai,Gujarat,168,11,ELEC279,Not Voted
Reyansh Gupta,104216912696,918447799788,VOT1366,35,Female,Chennai,Karnataka,29,49,ELEC544,Voted
Reyansh Shah,978246403748,918101105217,VOT1367,40,Male,Hyderabad,Maharashtra,42,85,ELEC429,Not Voted
Vihaan Iyer,462215138041,918747440626,VOT1368,54,Female,Surat,Tamil Nadu,287,90,ELEC578,Voted
Navya Singh,456882861563,919330759765,VOT1369,25,Female,Vadodara,Gujarat,283,78,ELEC752,Voted
Riya Nair,907885811100,919440632750,VOT1370,61,Male,Surat,Maharashtra,273,76,ELEC859,Not Voted
Kavya Verma,978131318578,916490598654,VOT1371,22,Male,Vadodara,Karnataka,42,92,ELEC385,Not Voted
Ananya Reddy,612709387317,916796873566,VOT1372,69,Female,Pune,Karnataka,162,17,ELEC732,Voted
Krishna Iyer,184167220886,919959902043,VOT1373,50,Male,Pune,Gujarat,197,54,ELEC483,Voted
Sai Reddy,269858642657,919503806410,VOT1374,42,Male,Bangalore,Tamil Nadu,33,11,ELEC132,Voted
Ishaan Reddy,410112421134,918518618804,VOT1375,71,Male,Mumbai,Tamil Nadu,257,14,ELEC544,Not Voted
Navya Verma,242198997141,918617541170,VOT1376,48,Male,Surat,Karnataka,104,72,ELEC964,Voted
Krishna Gupta,183131292909,917551478780,VOT1377,24,Male,Surat,Gujarat,223,57,ELEC324,Voted
Vihaan Iyer,209246683783,917213008742,VOT1378,39,Male,Pune,Gujarat,217,73,ELEC280,Not Voted
Vihaan Singh,270129803332,916763475885,VOT1379,50,Male,Chennai,Gujarat,200,99,ELEC497,Not Voted
Ishaan Iyer,290713104259,916007482574,VOT1380,21,Male,Vadodara,Tamil Nadu,287,2,ELEC185,Not Voted
Kavya Patel,229379550482,916997208421,VOT1381,33,Female,Bangalore,Maharashtra,50,58,ELEC376,Not Voted
Sai Singh,564412967560,917556751225,VOT1382,18,Male,Chennai,Karnataka,194,3,ELEC507,Voted
Vihaan Verma,332672133441,919883666856,VOT1383,54,Female,Vadodara,Gujarat,190,89,ELEC859,Voted
Navya Shah,755221586218,918625528591,VOT1384,54,Female,Ahmedabad,Telangana,235,16,ELEC529,Not Voted
Riya Singh,857726449439,918279426987,VOT1385,30,Male,Vadodara,Karnataka,182,28,ELEC236,Not Voted
Ananya Mehta,786474196705,918422049351,VOT1386,68,Male,Mumbai,Telangana,284,57,ELEC150,Voted
Sara Nair,464593819858,918271216757,VOT1387,33,Female,Bangalore,Gujarat,36,43,ELEC548,Voted
Arjun Verma,711259894769,919502120209,VOT1388,29,Male,Mumbai,Tamil Nadu,176,69,ELEC113,Not Voted
Vivaan Mehta,107084102879,918373948858,VOT1389,58,Female,Chennai,Gujarat,290,53,ELEC535,Not Voted
Ira Joshi,650406679315,916202105883,VOT1390,20,Female,Ahmedabad,Telangana,270,51,ELEC729,Voted
Anika Joshi,666726744243,917567272832,VOT1391,67,Female,Surat,Tamil Nadu,217,98,ELEC174,Voted
Sara Iyer,695895080897,918331219345,VOT1392,58,Female,Mumbai,Telangana,51,77,ELEC875,Voted
Reyansh Joshi,950814698282,916454675439,VOT1393,21,Male,Chennai,Maharashtra,96,79,ELEC650,Not Voted
Ishaan Joshi,811514177663,916752593881,VOT1394,66,Male,Surat,Gujarat,270,52,ELEC565,Voted
Arjun Shah,628557050076,917339660712,VOT1395,68,Male,Surat,Maharashtra,74,70,ELEC400,Voted
Ananya Singh,518320558922,916297968391,VOT1396,79,Female,Mumbai,Karnataka,160,4,ELEC773,Voted
Shaurya Singh,235395834881,918870351002,VOT1397,54,Male,Mumbai,Tamil Nadu,163,99,ELEC545,Voted
Anika Gupta,670242978100,917293884003,VOT1398,66,Male,Vadodara,Tamil Nadu,280,11,ELEC865,Not Voted
Shaurya Shah,597878513676,918252415889,VOT1399,28,Female,Surat,Tamil Nadu,167,94,ELEC740,Voted
Aadhya Verma,478069643052,919966661333,VOT1400,23,Male,Hyderabad,Tamil Nadu,69,34,ELEC197,Not Voted
Navya Gupta,577005907135,918974442424,VOT1401,39,Male,Bangalore,Telangana,173,52,ELEC144,Not Voted
Vihaan Patel,737355490185,916092570107,VOT1402,50,Male,Ahmedabad,Tamil Nadu,176,58,ELEC681,Not Voted
Krishna Reddy,993619007500,917857245229,VOT1403,57,Male,Mumbai,Maharashtra,177,81,ELEC621,Voted
Kavya Gupta,272053562244,919548705656,VOT1404,69,Female,Chennai,Telangana,109,71,ELEC602,Voted
Aarav Reddy,805358115086,917881997668,VOT1405,75,Female,Bangalore,Telangana,76,93,ELEC604,Not Voted
Arjun Reddy,516960575031,917970791890,VOT1406,49,Male,Pune,Maharashtra,242,23,ELEC273,Not Voted
Aadhya Gupta,165381399385,917623749520,VOT1407,47,Female,Vadodara,Maharashtra,72,27,ELEC246,Not Voted
Ananya Singh,565702213695,917517701884,VOT1408,54,Male,Hyderabad,Karnataka,142,5,ELEC298,Not Voted
Sara Joshi,403911312384,917829458993,VOT1409,74,Female,Mumbai,Gujarat,163,49,ELEC565,Voted
Ananya Patel,244527146033,918692134150,VOT1410,67,Male,Bangalore,Maharashtra,224,8,ELEC130,Not Voted
Aditya Nair,181406601836,919703513448,VOT1411,61,Male,Vadodara,Maharashtra,268,28,ELEC206,Not Voted
Ishaan Mehta,831921235096,917881867196,VOT1412,26,Male,Bangalore,Tamil Nadu,126,92,ELEC396,Voted
Ishaan Joshi,846256698525,919789235835,VOT1413,32,Female,Mumbai,Karnataka,15,70,ELEC268,Not Voted
Aditya Shah,497662978260,919156672644,VOT1414,28,Male,Hyderabad,Maharashtra,295,5,ELEC249,Voted
Diya Patel,908461606331,916366886688,VOT1415,68,Female,Pune,Maharashtra,277,99,ELEC423,Voted
Krishna Nair,605060488952,916824520171,VOT1416,70,Female,Surat,Maharashtra,108,20,ELEC813,Voted
Vivaan Iyer,720770633861,918630999343,VOT1417,59,Female,Chennai,Maharashtra,247,7,ELEC870,Not Voted
Riya Singh,246463469630,918673860497,VOT1418,44,Female,Pune,Maharashtra,111,41,ELEC550,Not Voted
Riya Patel,390273070584,918342162474,VOT1419,56,Male,Vadodara,Gujarat,156,89,ELEC862,Not Voted
Kavya Mehta,151783013592,919867000942,VOT1420,56,Female,Ahmedabad,Tamil Nadu,197,44,ELEC461,Voted
Anika Patel,442870548699,916609239692,VOT1421,41,Male,Chennai,Maharashtra,94,76,ELEC520,Voted
Sara Singh,293359956196,918603623956,VOT1422,57,Female,Mumbai,Karnataka,113,1,ELEC519,Voted
Ananya Verma,982422644863,916820788849,VOT1423,68,Female,Hyderabad,Karnataka,187,96,ELEC866,Voted
Diya Reddy,203776068180,919053599087,VOT1424,33,Male,Surat,Karnataka,196,97,ELEC140,Not Voted
Arjun Gupta,260195536337,919165542690,VOT1425,49,Male,Mumbai,Tamil Nadu,28,21,ELEC919,Not Voted
Sai Gupta,894456643788,918497545876,VOT1426,34,Male,Ahmedabad,Telangana,103,10,ELEC509,Voted
Aditya Verma,162642553235,916489810373,VOT1427,60,Male,Hyderabad,Tamil Nadu,217,81,ELEC996,Not Voted
Sara Reddy,677980769782,919621944642,VOT1428,33,Male,Ahmedabad,Karnataka,199,74,ELEC848,Voted
Ishaan Singh,645299016704,916328767646,VOT1429,54,Female,Ahmedabad,Tamil Nadu,210,70,ELEC187,Not Voted
Ishaan Joshi,131817142012,916966666868,VOT1430,45,Male,Ahmedabad,Gujarat,275,72,ELEC798,Voted
Arjun Iyer,702179145047,917307890590,VOT1431,28,Female,Surat,Maharashtra,167,3,ELEC504,Voted
Myra Shah,231723567715,919277031508,VOT1432,30,Female,Pune,Telangana,258,15,ELEC150,Voted
Ananya Nair,467877703830,917388248032,VOT1433,76,Male,Vadodara,Karnataka,22,29,ELEC995,Not Voted
Kavya Singh,703985395328,916929075760,VOT1434,24,Female,Hyderabad,Telangana,85,80,ELEC841,Voted
Kavya Singh,900807957513,918100335365,VOT1435,35,Female,Chennai,Karnataka,265,4,ELEC906,Voted
Ira Joshi,777387379286,917586464658,VOT1436,23,Female,Bangalore,Gujarat,151,49,ELEC587,Not Voted
Navya Joshi,607047467416,919967449128,VOT1437,61,Male,Surat,Telangana,167,12,ELEC398,Voted
Arjun Iyer,415243822246,919656846186,VOT1438,19,Male,Mumbai,Gujarat,256,62,ELEC947,Not Voted
Aditya Mehta,696562170223,917493774714,VOT1439,56,Female,Vadodara,Gujarat,288,25,ELEC526,Not Voted
Ananya Patel,988205870313,917872367481,VOT1440,53,Male,Surat,Karnataka,257,32,ELEC551,Not Voted
Vihaan Iyer,468127099341,918076277235,VOT1441,70,Female,Hyderabad,Tamil Nadu,160,58,ELEC610,Not Voted
Arjun Reddy,890549402330,917980595142,VOT1442,62,Male,Vadodara,Gujarat,56,32,ELEC526,Not Voted
Ira Shah,122818955127,916907475092,VOT1443,40,Female,Hyderabad,Maharashtra,71,72,ELEC117,Not Voted
Aarav Mehta,531253256704,918436537805,VOT1444,27,Female,Bangalore,Karnataka,9,78,ELEC354,Not Voted
Arjun Gupta,570070194446,917377987208,VOT1445,66,Male,Surat,Telangana,298,68,ELEC439,Not Voted
Krishna Nair,886379736838,916762405821,VOT1446,30,Male,Pune,Tamil Nadu,182,88,ELEC825,Voted
Aditya Gupta,225158496022,918682797791,VOT1447,37,Male,Surat,Gujarat,250,32,ELEC583,Voted
Arjun Singh,483842718847,917416729117,VOT1448,50,Male,Mumbai,Telangana,102,62,ELEC122,Voted
Arjun Verma,570447084516,917068498679,VOT1449,59,Male,Bangalore,Gujarat,184,71,ELEC309,Voted
Aarav Gupta,995853051943,916151553969,VOT1450,41,Male,Mumbai,Gujarat,40,55,ELEC687,Not Voted
Kavya Patel,503572069690,917110443974,VOT1451,74,Female,Surat,Karnataka,86,6,ELEC963,Voted
Reyansh Singh,843659044201,919667404010,VOT1452,62,Male,Chennai,Telangana,57,30,ELEC742,Not Voted
Vivaan Gupta,984733415859,919945882126,VOT1453,64,Female,Vadodara,Gujarat,141,47,ELEC543,Voted
Reyansh Verma,832546662379,916060903787,VOT1454,25,Male,Mumbai,Telangana,101,55,ELEC124,Not Voted
Anika Gupta,774380015362,919144586400,VOT1455,38,Male,Pune,Karnataka,81,66,ELEC515,Voted
Navya Shah,358267879322,918863104094,VOT1456,27,Male,Mumbai,Gujarat,193,26,ELEC993,Voted
Vihaan Verma,580038707525,919376313616,VOT1457,79,Male,Hyderabad,Karnataka,51,86,ELEC737,Not Voted
Krishna Gupta,803208396436,918576880275,VOT1458,63,Male,Bangalore,Tamil Nadu,236,7,ELEC585,Not Voted
Kavya Shah,497282767137,916787802520,VOT1459,49,Female,Vadodara,Maharashtra,209,88,ELEC335,Voted
Shaurya Iyer,937410947144,917404153518,VOT1460,64,Female,Chennai,Karnataka,223,36,ELEC493,Voted
Riya Reddy,385113695692,919188406983,VOT1461,37,Female,Chennai,Maharashtra,160,34,ELEC556,Voted
Arjun Mehta,113019763401,917652431963,VOT1462,47,Male,Pune,Tamil Nadu,177,97,ELEC360,Not Voted
Arjun Gupta,781396586469,918652593041,VOT1463,71,Male,Mumbai,Tamil Nadu,116,40,ELEC743,Not Voted
Kavya Mehta,190322424010,919147455688,VOT1464,31,Male,Surat,Karnataka,103,7,ELEC153,Not Voted
Anika Gupta,574625519579,917785981691,VOT1465,44,Male,Mumbai,Karnataka,22,70,ELEC884,Not Voted
Riya Singh,516139025799,916316266800,VOT1466,76,Female,Surat,Tamil Nadu,279,44,ELEC686,Voted
Sara Joshi,663695514425,917072171548,VOT1467,56,Female,Hyderabad,Gujarat,287,100,ELEC663,Voted
Vivaan Shah,725568202146,919166127649,VOT1468,74,Female,Chennai,Karnataka,225,96,ELEC384,Voted
Diya Joshi,116705287157,917251781364,VOT1469,58,Female,Chennai,Tamil Nadu,63,2,ELEC103,Not Voted
Sara Singh,602686677841,917811779269,VOT1470,30,Male,Hyderabad,Tamil Nadu,86,100,ELEC602,Voted
Aditya Joshi,957100949140,916890126732,VOT1471,57,Male,Vadodara,Karnataka,57,46,ELEC443,Voted
Aarav Shah,990561156899,919437111993,VOT1472,18,Female,Bangalore,Gujarat,243,2,ELEC409,Not Voted
Aarav Joshi,523133208289,918476076956,VOT1473,44,Female,Ahmedabad,Gujarat,8,31,ELEC698,Voted
Sara Iyer,521264012339,917813741838,VOT1474,53,Female,Surat,Telangana,146,83,ELEC258,Voted
Aarav Shah,139936723824,917332362107,VOT1475,57,Female,Mumbai,Maharashtra,291,69,ELEC346,Not Voted
Sara Joshi,412703749477,918178030939,VOT1476,47,Female,Ahmedabad,Gujarat,247,53,ELEC477,Not Voted
Sai Verma,347611976285,917666995345,VOT1477,48,Male,Vadodara,Maharashtra,278,89,ELEC918,Not Voted
Shaurya Verma,740384155618,916305144680,VOT1478,32,Female,Pune,Maharashtra,221,1,ELEC964,Voted
Ananya Mehta,146065886596,918896860288,VOT1479,79,Female,Mumbai,Karnataka,114,16,ELEC839,Voted
Diya Reddy,801946809318,919388387215,VOT1480,61,Male,Mumbai,Tamil Nadu,261,65,ELEC234,Not Voted
Kavya Gupta,721022398054,918457675935,VOT1481,62,Female,Pune,Gujarat,270,23,ELEC169,Not Voted
Aadhya Gupta,855093424742,919975898992,VOT1482,77,Female,Surat,Gujarat,37,67,ELEC129,Voted
Vihaan Verma,797590142613,916576553246,VOT1483,62,Male,Ahmedabad,Telangana,289,30,ELEC839,Voted
Kavya Verma,442253108493,916259203118,VOT1484,33,Male,Ahmedabad,Karnataka,31,56,ELEC865,Not Voted
Kavya Shah,289000371113,918613264014,VOT1485,18,Male,Bangalore,Telangana,38,30,ELEC468,Not Voted
Reyansh Patel,802699105167,919027908201,VOT1486,55,Female,Mumbai,Telangana,197,76,ELEC165,Voted
Myra Iyer,927122570063,917720521356,VOT1487,54,Female,Vadodara,Karnataka,26,79,ELEC615,Not Voted
Aadhya Iyer,341248006545,917523008888,VOT1488,79,Male,Mumbai,Gujarat,40,66,ELEC507,Not Voted
